,id_song,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,84.428,15.57172797,35,500
2,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.432,0.568267459,36,202
6,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.26,0.739935854,38,502
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,98.493,1.507311924,39,702
2,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,99.998,0.001847989,39,300
3,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.427,0.573444084,39,202
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.255,0.744969169,40,502
6,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,98.487,1.512930413,41,702
3,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,99.214,0.785956499,42,703
7,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,98.47,1.530000092,43,702
3,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,99.998,0.001882141,44,300
4,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.998,0.00188797,45,300
8,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.232,0.767922273,50,502
5,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,99.998,0.001921448,50,300
2,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,99.737,0.263030308,51,200
6,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,99.998,0.001933405,52,300
