id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2hJ2EY0LekqGQOFoROEdCj,0.443,0.868,10,-4.838,0,0.0607,0.000053,0.0000387,0.342,0.523,158.124,254533,4
2hjAc6x8EoSLhGxRNg8KEw,0.575,0.188,9,-18.758,1,0.0959,0.841,0.0000437,0.228,0.334,77.464,155453,4
2HjF8izM8Kn5zZFoGmQfSz,0.36,0.586,2,-4.996,1,0.0314,0.115,0.000119,0.294,0.178,136.117,283307,4
2hjGZ11huyuVc6Cnb2sM5h,0.665,0.338,4,-7.212,1,0.0315,0.816,0,0.121,0.385,106.578,239760,4
2HjhSn99t6YR0prJ1rV9aR,0.654,0.277,2,-17.769,1,0.0371,0.513,0.0000589,0.106,0.621,133.743,307107,4
2HJvW99WQacT35i0jDUpTi,0.467,0.927,10,-5.951,0,0.18,0.391,0.00674,0.142,0.761,177.501,184547,4
2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,259933,4
2HKjMpXbvb7Ec8k7rm7dIw,0.609,0.922,2,-4.141,1,0.0375,0.213,0,0.716,0.82,116.582,208093,4
2hKQZX6MyNEYo3eX2kPAxd,0.549,0.426,11,-7.59,1,0.0427,0.197,0,0.104,0.904,145.256,200720,4
2HlCoznsLUjxP3Plgn12bf,0.605,0.559,10,-7.803,1,0.0279,0.452,0.00000228,0.0962,0.334,136.747,282000,4
2HLoIy8orkC4LQoLVw23GK,0.488,0.708,6,-11.782,0,0.0517,0.0251,0.00491,0.134,0.833,95.777,236600,4
2hmafYGj1CXYKIYcMnX4lj,0.652,0.237,0,-8.364,0,0.0335,0.9,0,0.0991,0.367,129.976,228000,4
2hnMS47jN0etwvFPzYk11f,0.682,0.765,1,-5.021,0,0.0395,0.0268,0.0000342,0.188,0.567,90.807,182747,4
2hns6Dv29Yrg68AVTJiAyA,0.688,0.734,9,-4.569,1,0.0274,0.00462,0,0.0756,0.46,140.004,208493,4
2hNvu4bGZFOoop3PbornV2,0.654,0.148,6,-11.963,1,0.0327,0.929,0.0016,0.0895,0.287,130.738,208973,3
2HNZxbvFvasRtlOJ9M6DgR,0.692,0.938,9,-6.767,1,0.0468,0.0046,0.00412,0.0631,0.67,104.887,238733,4
2HoqbEOXgbDSLZ5XCePEXt,0.598,0.571,8,-12.616,0,0.139,0.704,0,0.513,0.962,173.141,119880,4
2hp0ZBtEDA2Wn3C1fvJSf9,0.337,0.373,4,-7.996,1,0.0331,0.554,0,0.0796,0.254,82.093,264689,3
2HPFtngNbQ9TVzm4alTTEH,0.523,0.642,1,-6.415,1,0.0278,0.0922,0.0000224,0.619,0.321,82.792,244640,4
2HpIvr7MWwxpvVmvbFwRBf,0.42,0.672,6,-7.902,1,0.027,0.0067,0,0.108,0.476,168.019,238667,4
2HqCaO7BV010qXS5FuiTED,0.537,0.699,10,-6.615,1,0.0399,0.237,0.0000227,0.114,0.814,84.905,250627,4
2hQxLiI93xdjqENJuKeXjO,0.508,0.544,7,-7.962,1,0.0286,0.333,0,0.257,0.407,138.114,279160,3
2hrUO4drrO63i7FYbCLBl2,0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,251173,4
