,danceability,energy,speechiness,acousticness,liveness,valence,tempo
128,0.519,0.85,0.0678,0.0457,0.233,0.749,123.419
129,0.727,0.338,0.0454,0.79,0.105,0.646,122.421
130,0.453,0.654,0.0317,0.0205,0.172,0.702,115.0
131,0.575,0.786,0.0296,0.252,0.159,0.518,96.102
132,0.587,0.566,0.0276,0.469,0.0644,0.528,76.055
133,0.393,0.719,0.0279,0.0629,0.219,0.497,124.353
134,0.454,0.788,0.0371,0.574,0.0859,0.52,126.15
135,0.561,0.811,0.0265,0.00515,0.287,0.635,126.593
136,0.533,0.36,0.0282,0.0805,0.0631,0.299,131.229
137,0.555,0.46,0.0277,0.497,0.103,0.146,67.027
138,0.546,0.568,0.0285,0.146,0.77,0.488,112.584
139,0.417,0.815,0.0322,0.0314,0.128,0.466,161.97
140,0.445,0.856,0.0327,0.000202,0.367,0.486,105.872
141,0.31,0.7,0.047,0.011,0.0828,0.763,188.386
142,0.68,0.594,0.0688,0.469,0.431,0.774,85.04
143,0.633,0.701,0.0398,0.365,0.179,0.88,153.109
144,0.382,0.589,0.0267,0.0465,0.122,0.335,140.059
145,0.664,0.613,0.0273,0.00309,0.175,0.193,96.6
147,0.534,0.441,0.0303,0.661,0.0934,0.439,97.009
148,0.863,0.728,0.0327,0.208,0.104,0.874,108.958
149,0.584,0.215,0.0313,0.664,0.0772,0.237,121.163
150,0.624,0.91,0.0297,0.0285,0.0789,0.767,104.042
151,0.213,0.362,0.0359,0.864,0.783,0.15,184.34
152,0.32,0.695,0.0388,0.032,0.201,0.165,141.91
153,0.377,0.681,0.0298,0.00088,0.0504,0.285,108.789
154,0.386,0.677,0.0346,0.00841,0.341,0.195,126.602
155,0.622,0.829,0.029,0.11,0.0954,0.539,110.367
156,0.478,0.854,0.0289,0.0204,0.115,0.274,91.854
157,0.521,0.297,0.0351,0.732,0.273,0.517,118.681
158,0.491,0.561,0.0279,0.274,0.23,0.543,134.881
159,0.405,0.632,0.0273,0.0316,0.112,0.141,145.936
160,0.548,0.294,0.0333,0.332,0.0392,0.491,76.698
161,0.4,0.805,0.0407,0.0387,0.109,0.324,158.459
162,0.606,0.282,0.0339,0.501,0.152,0.563,67.409
163,0.409,0.172,0.0389,0.922,0.111,0.352,132.151
164,0.54,0.862,0.0284,0.33,0.156,0.931,130.34
165,0.692,0.496,0.0241,0.172,0.107,0.376,97.945
167,0.427,0.459,0.0332,0.116,0.132,0.383,129.878
168,0.406,0.188,0.0324,0.852,0.105,0.629,120.757
169,0.585,0.776,0.0459,0.0572,0.3,0.427,77.987
170,0.557,0.32,0.0438,0.739,0.112,0.377,176.647
171,0.668,0.739,0.0308,0.0383,0.13,0.571,131.918
172,0.271,0.714,0.0329,0.392,0.115,0.239,94.158
173,0.182,0.388,0.0324,0.544,0.114,0.0392,139.276
174,0.6,0.853,0.0362,0.0355,0.0952,0.328,105.872
175,0.417,0.596,0.0302,0.0145,0.0725,0.156,73.958
176,0.484,0.905,0.0481,0.146,0.24,0.486,125.414
177,0.497,0.349,0.0297,0.0929,0.259,0.421,113.762
178,0.651,0.568,0.0399,0.119,0.316,0.188,134.828
179,0.36,0.454,0.0311,0.219,0.361,0.116,71.75
180,0.481,0.383,0.0244,0.622,0.12,0.177,94.272
181,0.622,0.692,0.0276,0.363,0.193,0.774,112.053
182,0.331,0.558,0.031,0.0689,0.124,0.0985,150.19
183,0.526,0.358,0.0243,0.525,0.0942,0.399,78.989
184,0.605,0.785,0.0257,0.0303,0.288,0.628,113.803
185,0.375,0.893,0.0406,0.000509,0.187,0.434,174.323
186,0.725,0.803,0.0337,0.013,0.0891,0.403,117.391
187,0.437,0.94,0.0426,0.0524,0.222,0.48,151.417
188,0.602,0.861,0.0461,0.0162,0.511,0.724,94.361
189,0.584,0.931,0.0344,0.00315,0.133,0.694,131.275
190,0.321,0.664,0.0326,0.447,0.138,0.57,139.235
191,0.531,0.597,0.0324,0.000403,0.063,0.33,110.791
192,0.421,0.783,0.0361,0.021,0.124,0.536,161.772
193,0.456,0.573,0.0275,0.578,0.114,0.0992,76.19
194,0.211,0.255,0.0328,0.923,0.405,0.226,85.841
195,0.166,0.14,0.0403,0.798,0.118,0.0549,111.631
196,0.213,0.4,0.0324,0.053,0.111,0.195,133.369
197,0.564,0.6,0.0305,0.183,0.38,0.442,78.955
198,0.274,0.195,0.0339,0.753,0.0774,0.168,115.227
199,0.361,0.901,0.0443,0.00152,0.286,0.481,144.974
200,0.806,0.462,0.0298,0.78,0.15,0.736,92.726
201,0.615,0.419,0.0395,0.0173,0.135,0.216,76.997
202,0.341,0.662,0.0335,0.105,0.113,0.2,174.875
203,0.477,0.471,0.0277,0.193,0.131,0.423,81.204
204,0.32,0.359,0.047,0.072,0.119,0.155,129.438
206,0.361,0.259,0.0306,0.835,0.612,0.137,72.759
207,0.319,0.179,0.0315,0.0634,0.431,0.259,133.708
208,0.254,0.296,0.0426,0.428,0.117,0.139,146.95
209,0.66,0.567,0.0289,0.00428,0.11,0.182,107.754
210,0.689,0.774,0.0278,8.72e-05,0.0941,0.25,102.054
211,0.611,0.791,0.0286,0.326,0.217,0.856,140.12
212,0.59,0.245,0.0305,0.243,0.142,0.22,112.452
213,0.515,0.769,0.031,0.0456,0.0961,0.644,153.046
214,0.493,0.636,0.0256,0.0629,0.0921,0.279,79.419
215,0.432,0.936,0.0562,0.00691,0.14,0.499,157.469
216,0.519,0.326,0.0252,0.328,0.118,0.244,82.479
217,0.403,0.907,0.0336,0.000177,0.952,0.486,128.112
219,0.433,0.458,0.0328,0.305,0.0863,0.23,115.213
220,0.428,0.449,0.0342,0.000351,0.253,0.196,113.308
221,0.392,0.534,0.0369,0.245,0.155,0.325,181.305
222,0.537,0.561,0.0297,0.423,0.134,0.242,78.13
223,0.573,0.59,0.0557,0.667,0.691,0.364,108.789
224,0.474,0.917,0.0395,0.582,0.201,0.902,152.113
225,0.746,0.79,0.0257,0.0485,0.0534,0.891,107.231
226,0.523,0.689,0.027,0.228,0.109,0.547,84.09
227,0.593,0.642,0.0299,0.313,0.0804,0.736,76.403
228,0.607,0.405,0.0265,0.539,0.231,0.233,129.543
229,0.376,0.908,0.0879,1.4e-05,0.241,0.266,144.581
230,0.482,0.808,0.065,0.0562,0.202,0.438,79.599
232,0.353,0.357,0.0391,0.399,0.0845,0.235,76.574
233,0.464,0.797,0.0333,0.006,0.392,0.547,129.964
235,0.688,0.538,0.0292,0.504,0.111,0.27,119.998
236,0.293,0.817,0.039,0.458,0.355,0.138,150.249
237,0.699,0.294,0.0294,0.587,0.117,0.893,96.615
238,0.743,0.446,0.0683,0.0039,0.337,0.278,123.596
239,0.443,0.819,0.0615,0.00338,0.696,0.0983,116.033
