id_chord,id_track,chords,orig_key
3684230,11179,"F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G,F,Am,Em,F,Am,G",C
1518708,9063,"Am,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G,Am,C,F,Dm,G",G
873754,6074,"C,G,C,C,F,C,C,C,G,C,C,F,C,C,C,G,C,C,G,C,C,F,C,C,C,G,C,C,F,C,C,C,G,C,C,F,C,C,C,G,C,C,F,C,C,C,G,C,C,F,C,C,C,G,C",G
748267,5377,"C,F,Am,G,G,G,A#,G,G,C,F,Am,F,C,F,Am,F,C,F,Am,F,Am,F,G,G,C,Am,F,G,C,Am,F,G,Am,G,F,C,C,C,F,Am,F,C,F,Am,F,Am,F,G,C,Am,F,G,C,Am,F,G,Am,G,F,C,Am,F,G,Am,G,F,C,G,F,C,G,F,A#,C,Am,F,G,C,Am,F,G,Am,G,F,Am,G,F,C,F,Am,F,C,F,Am,F,C",C
161933,2686,"Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,F,C,G,F,C,G,F,C,G,Dm,C,G,Dm,C,G,Dm,C,G,Dm,F,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,F,C,G,F,C,G,F,C,G,Dm,C,G,Dm,C,G,Dm,C,G,Dm,F,Dm,F,C,G,Dm,F,C,G,Dm,F,C,G,Dm,F,C",G
998549,6744,"C,Em,F,G,Am,C,Em,F,C,C,Em,F,C,C,Em,F,C,F,Am,G,C,Em,F,C,C,Em,F,C,F,Am,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,C,C,Em,F,C,C,Em,F,C,F,Am,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,C,C,Em,F,C,Em,F,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,C,C,Em,F,C,C,Em,F,C,F,C,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,C,C,Em,F,C",G
1983417,10165,"C,Em,C,Em,C,Em,C,Em,Am,C,F,Dm,Am,C,F,Dm,C,Am,Em,F,C,Am,Em,F,C,Am,Em,F,C,Am,Em,F,C,Em,C,Em,Am,C,F,Dm,Am,C,F,Dm,C,Am,Em,F,C,Am,Em,F,C,Am,Em,F,C,Am,Em,F,Am,C,F,Dm,Am,C,F,Dm,C,Am,Em,F,C,Am,Em,F",G
1184464,7952,"C,C,F,F,C,C,F,F,F,G,Am,C,F,G,C,G,Am,F,G,C,C,F,F,F,G,Am,C,F,G,C,G,Am,F,G,C,F,G,F,G,F,G,F,F,G,Am,C,F,G,C,G,Am,F,G,C,G,Am,F,G",G
509684,1943,"G,F,A#,Gm,G,D#,Dm,C,C,Am,G,F,G,A#,G,Gm,G,D#,Dm,G,Gm,G,D#,Dm,C,A#,Am,G,F,G,A#,G,Gm,G,D#,Dm,G,Gm,G,D#,Dm,C,A#,Am,G,F,G,A#,G,G,C,Am,G,F,G,A#,G,G,C,Am",G
1021438,6924,"G,G,G,G,G,G,G,G,D,D,G,A#,C,F,C,G,G,G,G,G,G,G,G,G,D,D,G,F,C,G,F,C,G,F,C,G,F,C,G,G,G,G,G,G,G,G,G,D,D,G,F,C,G,F,C,G,F,C,G,F,C,G,D,D,G,F,C,G,F,C,G,F,C,G,F,C,G",E
1051646,989,"Am,F,Am,F,Am,F,C,F,C,F,Am,F,Am,F,C,F,C,F,F,F,Am,F,Am,F,Am,F,Am,Am,F,Am,F,C,F,C,F,F,F,Am,F,Am,F,Am,F,Am,F,Am,F,Am,F,Am,F,Am,F,Am,F,Am,F",C
1186637,7979,"Am,F,C,G,Am,F,C,G,Am,Am,F,C,G,Am,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,Am,F,C,G,Am,Am,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,Am,C,Am,C,Am,F,C,G,Am,F,C,G,Am,Am,F,C,G",D
403064,3762,"C,F,Fm,C,F,Fm,Cm,F,Fm,Cm,F,Fm,Cm,F,Fm,Cm,F,Fm,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,C,F,Fm,C,F,Fm,C,F,Fm,C,F,Fm,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,C,F,Fm,C,F,Fm,C,F,Fm,C,F,Fm,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,Am,Dm,Em,C,F,C,F",D
125171,2288,"C,Dm,Em,Dm,C,Dm,Em,Dm,C,Dm,F,Gm,Am,A#,C,Dm,Em,F,G#,G,C,Dm,Em,Dm,C,Dm,Em,Dm,C,Dm,F,Gm,Am,A#,C,Dm,Em,F,G#,G,C,Dm,Em,Dm,C,A#,F,G,Am,F,G,G,C,Dm,Em,Dm,C,Dm,F,Gm,Am,A#,C,Dm,Em,F,G#,G,C,Dm,G#,G,C,Dm,Em,Dm",E
1981245,10162,"C,F,C,Am,C,F,C,F,C,Am,C,F,C,Am,C,F,C,C,F,C,Am,C,F,C,F,C,Am,C,F,C,C,F,C,Am,C,F,C,F,C,Am,C,F,C,Am,C,F,C,Em,C,Em,F,C,F,C,Am,C,F,C,F,C,Am,C,F,C,Am,C,F,C,C,F,C,Am,C,F,C,F,C,Am,C,F,C,Am,C,F,C,Am,C,F,C,Am,C,F,C,Am,C,F,C",G
372854,3627,"Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,F,G,A#,F,G,A#,F,G,A#,F,G,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,F,G,A#,F,G,A#,F,G,A#,F,G,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,Dm,F,G,A#,F,G,A#,F,G,A#,F,G,A#,F,G,A#,F,G",D
974919,6576,"F,C,F,C,F,Am,C,F,C,F,C,F,C,F,Am,F,C,C,C,C,C,F,C,F,C,F,Am,C,F,C,C,F,C,F,C,Em,F,C,C,Em,F,C,C,Em,F,C,C,Em,F,C,C,Em,F,C,C,Em,F,C,C,Em,F,C",D
327887,3375,"C,F,G#,G,Am,D,C,F,C,C,F,C,F,C,F,G#,Am,F,Am,F,Am,D,G,C,F,G,C,F,C,F,C,F,G#,Am,F,Am,F,Am,D,G,C,F,G,G,C,F,C,F,C,F,G#,Am,F,Am,F,Am,D,G,C,F,G,C,F,C,F,C,F,G#,Am,F,Am,F,Am,D,G,C,F,G,G,C,F,G,C,F,G,C,F,G,C,F",D
1905507,9985,"C,F,Dm,Am,G,Fm,C,C,F,C,Dm,Am,F,C,Dm,Am,F,Am,G,C,Fm,C,G,Am,F,C,G,Am,Fm,C,G,Am,F,C,Dm,Am,F,C,Dm,Am,F,Am,G,C,Fm,C,G,Am,F,C,G,Am,F,C#,G#,A#m,F#,C#,G#,A#m,F#m,C#,C#,C#",C
1087275,362,"C,C,C,C,G,F,C,C,C,G,F,C,Am,F,G,Am,F,G,Am,F,G,C,C,G,F,C,C,C,G,F,C,Am,F,G,Am,F,G,Am,F,G,C,C,F,C,F,C,Am,F,G,Am,F,G,Am,F,G,Am,F,G,Am,F,G,Am,F,G,Am,F,G",D
330018,3396,"Dm,F,C,Dm,F,C,Dm,F,C,Dm,F,G,G,C,C,Am,F,G,A#,F,C,C,Am,F,G,A#,F,C,Dm,F,C,Dm,F,G,F,G,C,C,Am,F,G,C,C,Am,F,G,A#,F,C,C,Am,F,G,A#,F,C,C,Am,F,G,C,Am,F,G,G,F,G,C,C,Am,F,G,C,C,Am,F,G,A#,F,C,C,Am,F,G,A#,F,C,D,D,Bm,G,A,C,G,D,D,Bm,G,A,C,G,D,D,Bm,G,A,C,G,D,C,D",D
16889,518,"F,F,G,C,F,G#,D#,F,G,C,G#,C,F,C,F,C,F,C,F,C,F,C,F,C,F",D
807314,2689,"C,F,G,Am,G,D,G,F,G,Dm,Em,C,F,G,Am,G,F,C,F,G,Am,G,F,C,F,G,Am,G,F,C,D,F,Am,C,Am,G,C,D,F,Am,C,Am,G,F,C,F,G,Am,G,F,C,F,G,Am,G,F,C,D,F,Am,C,Am,G,C,D,F,Am,C,Am,G,F,Em,F,C,G,Am,Dm,G,Em,Fm,C,D,F,Am,C,Am,G,C,D,F,Am,C,Am,G,C,D,F,Am,C,Am,G,C,D,F,Am,C,Am,G,F,F,G,Am,G,F,C,F,G,Am,G,F",G
190475,2947,"Am,Dm,G,Am,Dm,G,Am,F,C,G,C,G,Am,F,C,Dm,G,Am,Am,F,C,G,Am,F,C,Dm,G,Am,Am,Dm,G,Am,Dm,G,Am,F,C,G,C,G,Am,F,C,Dm,G,Am,Am,F,C,G,Am,F,C,Dm,G,Am",G
2315065,10502,"Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,G,Am,C,F,G,Am,C,F,G,Am,C,F,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,G,Am,C,F,G,Am,C,F,G,Am,C,F,F,G,Am,C,F,G,D,E,F,G,Am,C,D,Am,C,F,G,Am,C,F,G,Am,C,F,G,Am,C,F,Am,C,F,G,Am,C,F,G,Am,C,F,G,Am,C,F,G,Am,C,F,E,E,Am,C,F,E,E,Am,C,F,E,G,D,E",C
1674854,9129,"Am,Dm,Am,Dm,Am,Dm,Am,Dm,C,Em,Am,F,C,Em,Am,F,Am,Dm,Am,Dm,Am,Dm,C,Em,Am,F,C,Em,Am,F,Am,Am,C,F,Am,C,F,G,C,Em,Am,F,C,Em,Am,F,C,Em,Am,F",C
18953,668,"C,A#,F,C,A#,F,C,A#,F,C,A#,F,C,A#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,F,D#,F,D#,A#,F,D#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,C,A#,F,C,A#,F,C,A#,F,C,A#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,F,D#,F,D#,A#,F,D#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,C,A#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,F,D#,F,D#,A#,F,D#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,F,C,G,F,G,F,F,C,G,F,G,F,F,C,G,F,G,F,F,C,G,F,G,D#,A#,F,D#,F,D#,A#,F,D#,F,F,C,G,F,G,F,F,C,G,F,G,F,F,C,G,F,G,F,C,G,F,G,D#,A#,F,D#,F,D#,A#,F,D#,F,F,C,G,F,G,F,C,G,F,G,D#,A#,G#,G,C,A#,F",E
3059212,11068,"F,Fm,Am,Em,Dm,Am,Em,Dm,Am,Em,Dm,Am,Em,Dm,C,E,Am,G,F,Fm,Am,Em,Dm,Am,Em,Dm,Am,Em,Dm,Am,Em,Dm,C,E,Am,G,F,Fm,C,E,Am,G,F,Fm,C,E,Am,G,F,Fm,C,E,Am,G,F,Fm,C,E,Am,G,F,Fm",F
1175965,7899,"Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm,Am,Em,F,Dm",C
1775840,9592,"F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G,F,Am,G,Dm,F,G,F,Am,G,F,Am,G",C
2299567,10481,"F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,Am,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,Am,G,Dm,F,C,G,Dm,F,Am,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,C,G,F,Am,G,F,C,G,F,Am,G,F,C,G,F,Am,G",G
2354751,10559,"Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am",D
636001,4856,"C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,Gm,C,F,Fm,Gm,C,F,Fm,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C,C,F,Am,G,C",C
95973,587,"C,Am,Dm,G,C,Am,Em,C,F,G,Am,C,F,G,C,Am,Dm,G,C,Am,Dm,G,C,Am,Em,C,F,G,Am,C,F,G,C,C,F,Em,Am,A,Am,Dm,G,C,C,F,Em,Am,A,Am,D,G,C,Am,Dm,G,C,Am,Em,C,F,G,Am,Fm,F,G,Am,Fm,F,G,Am,Fm,Cdim,Dm,G,G#,C,F,Em,Am,A,Am,Dm,G,C",C
1411696,8489,"F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C,F,Am,C",F
2230835,10405,"C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,Em,Am,G,Em,Am,G,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F,C,Dm,Am,F",C
