id_chord,id_spotify_track,id_track,r
778654,0LQtEJt7x0s6knb6RKdRYc,5303,1
820041,0LrwgdLsFaWh9VXIjBRe8t,5789,1
1186736,0LtOwyZoSNZKJWHqjzADpW,7967,1
3461768,0lx2cLdOt3piJbcaXIV74f,11147,1
1061874,0LxeKwg9t7HOnyfv4bTALT,7254,1
1861929,0lYBSQXN6rCTvUZvg9S0lU,9841,1
1490181,0lYtIvI7bO51PZSeK22Mbz,8934,1
194815,0lZxd99ZIjA0zUdQAY3FXr,2968,1
1096050,0M3HkE321xpCbCYqVKzr1q,7458,1
1459212,0M73X5HpOH4NKyzKQbl3Zd,8748,1
2203429,0MAIxtXWimwhAAQOST9jp7,10384,1
1088898,0mbS3VwRbO6HVBMPXnzOGA,515,1
695599,0mhFWJ1HkT8pTeqdlNRxvA,5158,1
1185228,0MiXTkMPaVXFRFmZCLYkIg,7962,1
2655975,0mKnuxVkPi5h0kuvZl44VM,10850,1
1756131,0mkwblABUOYgrnYr4wNwFs,9387,1
2991266,0MkXlAvKZjHQjnoUMZKNqg,11040,1
809988,0MMXJSF2LqUuCm7DdVfdmL,5733,1
122749,0MOcNURhC9dUbQ2pIOEaZe,2272,1
1512464,0Mq0reDcNpgmQkjHfzpJrp,9030,1
984425,0MqhXAFU5rnOtskcRkllYG,6630,1
378437,0MqkYdGBzHx7lnaFvo7doR,3642,1
202343,0mUyMawtxj1CJ76kn9gIZK,2848,1
1219511,0mvkwaZMP2gAy2ApQLtZRv,8219,1
1708546,0My8NPmENHrN5W7OfgZnZJ,9253,1
377455,0MYAQRR7ZIIE1QD0rFgcMI,3636,1
213175,0n2pjCIMKwHSXoYfEbYMfX,3145,1
1399971,0n2SEXB2qoRQg171q7XqeW,3121,1
1248268,0n4bITAu0Y0nigrz3MFJMb,8366,1
1417579,0NdTUS4UiNYCNn5FgVqKQY,8531,1
648764,0ngtyvPUKR4YTtkVKvZP02,4916,1
18841,0NJC0FDCODpPUntRTTQq97,662,1
1180259,0NlGoUyOJSuSHmngoibVAs,7913,1
830604,0nLiqZ6A27jJri2VCalIUs,236,1
184243,0nnwn7LWHCAu09jfuH1xTA,1085,1
1408921,0nrRP2bk19rLc0orkWPQk2,8402,1
185173,0NslHuacjxQYfUTOW3HCIV,2899,1
723359,0ntQJM78wzOLVeCUAW7Y45,5285,1
1163087,0nxvFG50rGXkiGQqOO2MHr,7614,1
79191,0nZVzNtcrXnxVaXiB5bfO4,1706,1
2165759,0O2GtSCle8Eujbc1Voh2VY,10360,1
261002,0O7lENhqOySbsL743G7PqD,3195,1
188019,0o995gJCGebaza0LWybToU,2923,1
758267,0oerlffJSzhRVvtDfLcp3N,3300,1
1044711,0ofHAoxe9vBkTCp2UQIavz,1016,1
961287,0Ohi2pjBS1yak2BSgJRaIs,6501,1
943213,0OjiV7FpVCrOIq53ZSH1EM,6408,1
667667,0OQcEcs36ckWOB1nywhmBV,5030,1
17376,0oQshbv1BFLZ61b1tQ4Eqg,563,1
1520806,0OwEskGUqCMgkSY7JkJS7x,9072,1
1464413,0owU9W5gPsJEcwAmMjzomy,8775,1
657567,0OYcEfskah1egYHjYRvbg1,4955,1
184953,0P0v83waDX4ElzSgmF1cG5,2895,1
76373,0P49pJa288tm8gKbFcofn9,1634,1
1044061,0P6TTXbSLGrSoTNMz5kvB7,7083,1
871378,0P9e4X3IcZFkeXpYvG3Z45,6045,1
1680685,0PB8KUQHpc7GveSOaWhGwb,8237,1
48562,0PCGfA36HrVPmsBZJ57zOU,1100,1
2100901,0pdKRp2sUthTPe7RLWpPqQ,10294,1
1809831,0PDUDa38GO8lMxLCRc4lL1,9709,1
668284,0pg4ptWsO9eMH6nEhrM9fD,4083,1
1092970,0pJfsPQesJyCnR5XWZyvj9,7431,1
335727,0pNeVovbiZHkulpGeOx1Gj,602,1
1166247,0PNt5WTw092eED0ru9SuIp,7860,1
1394481,0PPXEgevjLKKso0QVhEFZ4,8398,1
1941491,0pqnGHJpmpxLKifKRmU6WP,10045,1
145205,0pQskrTITgmCMyr85tb9qq,523,1
985940,0pQZMrYNcfwZbt2Zt0pjaA,6642,1
1208495,0pVujrkHwuN9nAN9zGcEyy,8156,1
998735,0PWgAyoxsjwGRuFSO0fyya,6753,1
1161893,0pwYLVXVknPSGUQb39cePC,7827,1
2107185,0pz4nOncxFVjn2gWpKO2JL,10312,1
50470,0Q0IVlqMV64kNLlwjPj0Hl,1133,1
929606,0q6LuUqGLUiCPP1cbdwFs3,6330,1
486754,0Q9jC6LNRtrgBRYeq7h4pS,4151,1
835773,0qAMjeQFyd1qD0LDiV8gWp,2884,1
106200,0qdQUeKVyevrbKhAo0ibxS,2140,1
2105955,0Qh38w01QRXK6KHIv0e3hb,10303,1
80132,0qH487xSz8Z6Xk4kyOQkbG,1760,1
120881,0qksx8mV28lztYIZ1om8ml,2266,1
38269,0QnONzv3TvHAWk294h6DaQ,884,1
1093324,0qOnSQQF0yzuPWsXrQ9paz,7290,1
1126572,0QpactOWKs6d2vbTdDyVsS,7653,1
2508408,0qpSvzE0Rws3gVZNZCf04v,10738,1
1727706,0QpxUzXEI3ZjJeo6dDFgV7,6401,1
1513523,0QQIhT6PtJ5glyn4HKNKQ6,9042,1
36239,0QRF5DfHjWxd4MHoQk2rgO,854,1
806193,0qseZDVUDYcH0S7xxhNKlE,5720,1
1708124,0qSNv9JkuATfKQ2KII4et3,9252,1
1472217,0qt5f5EL92o8Snzopsv0en,8814,1
1671076,0qUnBLZ8bJqUNEeQgayL9t,9097,1
1879128,0qvzXomUDJVaUboy2wMfiS,9913,1
16491,0R8P9KfGJCDULmlEoBagcO,494,1
1088579,0RdUX4WE0fO30VnlUbDVL6,2677,1
1993841,0rH0mprtecH3grD9HFM5AD,10135,1
456463,0rKPoDE9Bm4OcZeyHrHZnV,4059,1
2470894,0rKtyWc8bvkriBthvHKY8d,10693,1
743319,0RLo41iYH4jW2LVv3V0Iyy,5404,1
1242523,0rmGAIH9LNJewFw7nKzZnc,3657,1
1899318,0ROj512WvJ1eqeELd7MEdJ,9946,1
1422527,0RW1xWSPxmbXf012RN3yWl,8543,1
