,id_chord,id_spotify_track,id_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,popularity,album_name,release_date,mood
590,821402,1CHtP9kPg91Ma1CsypyLlm,5792,0.354,0.183,0,-12.851,0,0.0309,0.885,0.0,0.7,0.332,102.464,238173,3,hallelujah,20.0,Live in London,2015-12-11,5
591,1483136,1CIlKWhwH35XcCzpofRjux,8897,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,feels like we only go backwards,45.0,Why'd You Only Call Me When You're High?,2013-09-02,10
592,1030618,1cM3Yg2598GAgtV8uu2hBZ,6993,0.63,0.316,6,-11.885,1,0.0293,0.898,0.00217,0.0616,0.477,82.529,173091,4,atlas hands,56.0,Last Smoke Before The Snowstorm (10th Anniversary Edition),2011-06-19,6
593,1236499,1cMQNDXMSvOd8djPPTr3A6,8291,0.682,0.486,0,-7.5,1,0.0262,0.79,5.14e-06,0.147,0.279,94.999,263979,4,masih mencintainya,53.0,Masih Mencintainya,2014,2
594,1741557,1CnPYaKxTVb4LWOtiGOm0m,5916,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603,4,therapy,70.0,The Human Condition,2016-06-10,6
595,805554,1cp98giGbex49OA8RkxgxO,5714,0.394,0.629,2,-7.584,1,0.0292,0.273,8.65e-05,0.0902,0.181,75.991,293587,4,lucky man,43.0,Urban Hymns (Super Deluxe / Remastered 2016),1997-09-29,3
596,1461748,1CQ2cMfrmFM1YdfmjENKVE,8766,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,4,she looks so perfect,73.0,5 Seconds Of Summer,2014-06-27,7
597,1046742,1CRtJS94Hq3PbBZT9LuF90,7116,0.644,0.4,3,-5.713,1,0.0304,0.214,0.0,0.0866,0.227,115.025,243200,4,dont you remember,62.0,21,2011-01-24,2
598,1459613,1cSXzDZt8vzuUp2XREQEJN,8754,0.798,0.74,11,-4.865,1,0.0458,0.0419,1.84e-06,0.157,0.834,128.054,219720,4,atemlos durch die nacht,64.0,Farbenspiel,2013-01-01,10
599,560404,1CtKHwDqsH3ctcCCI18N0g,4457,0.492,0.928,5,-4.037,1,0.071,0.61,0.00259,0.368,0.92,194.078,203453,4,everybody needs somebody to love,62.0,The Blues Brothers Original Motion Picture Soundtrack,1980,11
